GameId,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,Description,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,SitID,TeamID,PlayID
2023091801,1,11,42,CLE,PIT,1,10,59,0,(11:42) (SHOTGUN) 4-D.WATSON PASS SHORT LEFT TO 11-D.PEOPLES-JONES PUSHED OB AT PIT 34 FOR 7 YARDS (39-M.FITZPATRICK).,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,0,0,,1211059,12,205
2023091800,4,1,15,NO,CAR,1,10,55,1,(1:15) (SHOTGUN) 67-L.YOUNG REPORTED IN AS ELIGIBLE.  7-T.HILL LEFT GUARD TO CAR 34 FOR 11 YARDS (95-DER.BROWN).,11,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,0,0,LEFT GUARD,911055,9,106
2023091800,4,1,21,CAR,NO,1,3,97,1,"(1:21) (SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 19-A.THIELEN FOR 3 YARDS, TOUCHDOWN.",3,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,0,0,0,0,,1010397,10,201
2023091800,4,1,26,CAR,NO,1,10,75,1,(1:26) (SHOTGUN) 9-B.YOUNG PASS DEEP RIGHT TO 15-J.MINGO RAN OB AT NO 3 FOR 22 YARDS (6-M.MAYE).,22,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,0,0,0,0,,1011075,10,204
2023091800,4,1,31,CAR,NO,2,1,69,1,"(1:31) (NO HUDDLE, SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 30-C.HUBBARD PUSHED OB AT NO 25 FOR 6 YARDS (32-T.MATHIEU).",6,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,0,0,,1020169,10,201
2023091800,4,1,36,CAR,NO,1,10,60,0,"(1:36) (NO HUDDLE, SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 81-H.HURST PUSHED OB AT NO 31 FOR 9 YARDS (29-P.ADEBO).",9,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,0,0,,1011060,10,201
2023091800,4,3,18,NO,CAR,1,2,98,1,"(3:18) 34-T.JONES UP THE MIDDLE FOR 2 YARDS, TOUCHDOWN.",2,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,0,0,0,0,CENTER,910298,9,103
2023091800,4,3,57,NO,CAR,2,1,93,1,(3:57) 7-T.HILL UP THE MIDDLE TO CAR 2 FOR 5 YARDS (24-V.BELL; 99-S.TUTTLE).,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,CENTER,920193,9,103
2023091800,4,4,1,NO,CAR,1,10,84,1,"(4:01) (SHOTGUN) 4-D.CARR PASS SHORT LEFT TO 12-C.OLAVE FOR 16 YARDS, TOUCHDOWN. THE REPLAY OFFICIAL REVIEWED THE RUNNER WAS INBOUNDS RULING, AND THE PLAY WAS REVERSED. (SHOTGUN) 4-D.CARR PASS SHORT LEFT TO 12-C.OLAVE PUSHED OB AT CAR 7 FOR 9 YARDS (25-X.WOODS).",16,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,0,0,0,0,,911084,9,205
2023091800,4,4,8,NO,CAR,1,10,65,1,(4:08) (SHOTGUN) 7-T.HILL RIGHT END PUSHED OB AT CAR 16 FOR 19 YARDS (23-C.HENDERSON).,19,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,0,0,RIGHT END,911065,9,105
